"Salario" "Sexo" "Posicao" "Exp"
120 "Feminino" 2 4.2
137 "Feminino" 4 13.2
156 "Masculino" 6 9.5
146 "Feminino" 5 4.3
131 "Masculino" 3 11.5
148 "Masculino" 6 13.4
172 "Feminino" 7 8.4
165 "Masculino" 7 7.9
133 "Masculino" 4 6.6
152 "Masculino" 5 11.7
150 "Masculino" 8 15.3
150 "Feminino" 6 5.4
118 "Feminino" 1 4.3
138 "Masculino" 5 15.6
129 "Masculino" 3 5.3
147 "Masculino" 6 7.1
165 "Masculino" 8 11.7
141 "Masculino" 5 10.3
149 "Masculino" 8 21.8
148 "Feminino" 5 9.5
150 "Masculino" 5 11.9
152 "Masculino" 8 25.3
129 "Feminino" 3 8.5
152 "Feminino" 6 4.3
141 "Masculino" 4 18.3
149 "Feminino" 5 6.8
124 "Masculino" 4 10.5
112 "Masculino" 3 9.7
154 "Masculino" 7 14.8
132 "Masculino" 4 11.9
148 "Masculino" 7 16.2
139 "Masculino" 5 11.6
151 "Masculino" 7 22.5
139 "Masculino" 6 12.5
163 "Feminino" 9 21.7
162 "Masculino" 6 10.1
155 "Masculino" 7 9
157 "Masculino" 7 13
131 "Feminino" 4 4.2
143 "Masculino" 6 8.2
150 "Masculino" 6 22
151 "Feminino" 6 4.7
140 "Feminino" 5 8
158 "Masculino" 9 17.2
145 "Masculino" 6 9
119 "Masculino" 3 11.8
146 "Masculino" 7 19.2
143 "Feminino" 3 7.8
151 "Masculino" 7 20.8
132 "Masculino" 4 13.5
129 "Feminino" 3 13.4
129 "Masculino" 6 21.1
165 "Masculino" 8 21.4
120 "Feminino" 2 2.1
133 "Masculino" 3 12
147 "Masculino" 6 13.8
164 "Masculino" 9 22
127 "Feminino" 3 2.3
132 "Feminino" 4 4.6
146 "Masculino" 5 8.9
147 "Masculino" 5 8.8
156 "Masculino" 7 15.1
132 "Masculino" 4 4.7
161 "Masculino" 7 16.5
